Gene,WGCNA_Modules, IntraModular Connectivity
Os01g0100100,GreenYellow,5.60767230161861
Os01g0100400,Tan,1.34999860250543
Os01g0100700,Brown,48.7546261793768
Os01g0100900,Red,48.7998727663215
Os01g0101200,Blue,143.423631463537
Os01g0101600,Tan,2.7511216224788
Os01g0101700,Green,10.4056478718763
Os01g0102300,Blue,16.8780510372958
Os01g0102500,Turquoise,44.3053938858872
Os01g0102600,Blue,140.189781047119
Os01g0102850,Yellow,3.6963417575235
Os01g0103000,Brown,2.73952447174175
Os01g0103100,Midnightblue,0.68249577187981
Os01g0103400,Turquoise,0.447736315481886
Os01g0103700,GreenYellow,0.839586656441449
Os01g0103800,Midnightblue,2.00450570699853
Os01g0103900,Turquoise,3.53841960495062
Os01g0104000,Midnightblue,4.94636877300755
Os01g0104350,Turquoise,5.55073266444235
Os01g0104400,Purple,12.3283951756525
Os01g0104600,Blue,76.7723679447245
Os01g0104800,Brown,157.546025213589
Os01g0105400,GreenYellow,2.13951148693306
Os01g0105800,Turquoise,48.7453744061379
Os01g0105900,Salmon,17.9878170335937
Os01g0106300,Magenta,43.7017207729768
Os01g0106400,Magenta,1.70668644555154
Os01g0106500,Brown,74.9275953615588
Os01g0106600,Red,0.588766927814541
Os01g0106700,Brown,15.670525202548
Os01g0106900,Green,31.733182090066
Os01g0107000,Salmon,4.51652900810284
Os01g0107400,Grey,0.064588372772189
Os01g0107900,Turquoise,13.0059259700321
Os01g0108000,Turquoise,124.845139815828
Os01g0108400,Green,17.7033875420716
Os01g0109000,Blue,21.9860615615196
Os01g0109700,Turquoise,42.1950435014123
Os01g0109750,Blue,8.42301906576094
Os01g0110200,Magenta,31.7108553698202
Os01g0110400,Turquoise,85.6890199576447
Os01g0110700,Blue,5.50663950077489
Os01g0110800,Grey,0.189195037792083
Os01g0111100,Blue,81.148991737522
Os01g0111300,Magenta,3.9642804036962
Os01g0111700,Yellow,2.31338144341044
Os01g0111800,Turquoise,0.800886887632156
Os01g0111900,Magenta,4.32304571900575
Os01g0112100,Brown,21.14478720974
Os01g0112300,Brown,14.4264867182195
Os01g0112500,Turquoise,8.59995775468553
Os01g0113200,Yellow,0.756322200025258
Os01g0113350,Black,16.6644257578277
Os01g0113400,Blue,1.18828718438467
Os01g0113500,Blue,29.1675613078205
Os01g0114100,Turquoise,13.9510515408889
Os01g0114300,Green,1.30634320356688
Os01g0114550,Blue,0.950396324050073
Os01g0115100,Blue,14.0067677112421
Os01g0115300,Brown,1.40061202698139
Os01g0115600,Black,7.10998829654304
Os01g0115800,Blue,1.30894109517385
Os01g0115900,Blue,6.35476798816097
Os01g0116900,Black,1.6771659678235
Os01g0117050,Tan,0.689430027902572
Os01g0117100,Blue,27.5256592361475
Os01g0117200,Black,3.44618854692563
Os01g0117300,Blue,6.10179055380228
Os01g0117900,Tan,3.77489457792796
Os01g0118000,Brown,1.52968430741601
Os01g0118066,Cyan,0.400443591487543
Os01g0118100,Green,0.675468726270779
Os01g0118300,Yellow,0.763695605886993
Os01g0118400,Turquoise,63.8344512195594
Os01g0118600,Turquoise,7.70186077519713
Os01g0118700,Turquoise,101.025600942961
Os01g0119000,Turquoise,39.781491334763
Os01g0119050,Blue,2.88980262659298
Os01g0119100,Magenta,6.98743215032366
Os01g0120300,Blue,19.4534866102989
Os01g0120400,Turquoise,68.7148453348169
Os01g0120500,Green,31.9794660322211
Os01g0120600,Turquoise,43.6612336543698
Os01g0120700,Turquoise,24.3887592323267
Os01g0120800,Brown,56.990624496939
Os01g0121100,Turquoise,12.6258770090551
Os01g0121300,Turquoise,0.540007635218436
Os01g0121500,Turquoise,18.3467366260687
Os01g0121700,Blue,10.3539460822973
Os01g0121800,Turquoise,94.4587003980501
Os01g0123700,Green,3.34880098539559
Os01g0123900,Purple,1.92419169358249
Os01g0124000,Salmon,1.88473285087575
Os01g0124100,Red,3.61140927814227
Os01g0124200,Turquoise,16.9058106236773
Os01g0124401,Turquoise,17.7098781555913
Os01g0124650,Turquoise,137.622893655511
Os01g0125600,Brown,0.664921353470818
Os01g0125800,Turquoise,170.128658753396
Os01g0125900,Turquoise,60.1625172215398
Os01g0126200,Black,16.4028188647783
Os01g0126401,Black,3.24869531525985
Os01g0127400,Black,11.8817946254011
Os01g0127450,Blue,7.93144098322877
Os01g0127600,Purple,0.980270050903955
Os01g0127700,Yellow,9.00729336569336
Os01g0127900,Turquoise,108.965703753178
Os01g0128000,Red,7.60953545643963
Os01g0128100,Turquoise,1.13385695533117
Os01g0128200,Turquoise,138.345703484038
Os01g0128250,Turquoise,81.3944616694421
Os01g0128300,Salmon,27.7209883340636
Os01g0128400,Turquoise,19.3793746238836
Os01g0128800,Purple,2.21621373179111
Os01g0129500,Red,0.185904563171247
Os01g0130000,Turquoise,96.6094578750489
Os01g0130200,Purple,4.37795156643077
Os01g0130400,Salmon,0.734756105965855
Os01g0130900,Grey,0.518808696711438
