id,Label,TF,KEGG,Symbol,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
0,Os03g0367200,,,,10.9122854997785,5965,Yellow,3.0310261414823,"Similar to Flavonoid 3', 5'-hydroxylase (EC 1.14.13.88) (F3'5'H) (Cytochrome P450 75A2) (CYPLXXVA2) (P-450EG1).",,['misc.cytochrome P450'],LOC_Os03g25150,-0.260516582057367,0.893920479455097,,-0.240020093215467,0.897024021983081,,-1.92857694579006,0.157929863316458,,-3.23034450781012,0.047156051262006,Down,4.46309401953478,0.011838388587276,Up
1,Os03g0811200,,,,48.0870403970559,864,Turquoise,35.2090921689742,BRCT domain containing protein.,Cellular Component: intracellular (GO:0005622),['not assigned.unknown'],LOC_Os03g59650,-1.06617330439617,0.386120311983999,,-1.76039366894103,0.102432898501004,,-3.04991976170921,0.003431486157149,Down,-5.03984798809546,0.000419814460165,Down,-3.53505768447024,0.004339048550345,Down
2,Os06g0113600,,,,11.531695115268,5741,Yellow,5.16195614842294,Cyclin-like F-box domain containing protein.,Molecular Function: protein binding (GO:0005515),['not assigned.unknown'],LOC_Os06g02340,-0.448029660540404,0.555287016705193,,-0.229460928631529,0.781285592196736,,-1.16397810667523,0.04844254260847,Down,-2.31460849290712,0.000307171065669,Down,-3.13584634741881,0.000180836607113,Down
3,Os04g0309400,,,,4.28987804482686,9449,Brown,3.72076429996821,"Conserved hypothetical protein., Non-protein coding transcript.",,['not assigned.unknown'],LOC_Os04g24414,1.10255313345761,0.031846050638979,Up,0.889669440021538,0.09073714429523,,-2.13832357650344,0.000296482573601,Down,-1.4638398422322,0.012037296225618,Down,2.48327326710213,2.13E-11,Up
4,Os03g0113900,,,OsS40-4,8.69659722194615,6858,Blue,6.90214878279536,Protein of unknown function DUF584 family protein.,,['not assigned.unknown'],LOC_Os03g02280,2.55463603177466,0.010004179037013,Up,2.85748445042153,0.002191120508559,Up,-1.94433131459989,2.51E-06,Down,3.15036189290268,1.47E-11,Up,-0.72473227408295,0.012022279946936,
5,Os05g0104900,,"Ubiquitin mediated proteolysis, Protein processing in endoplasmic reticulum",OsPUB66,49.3007067934779,815,Blue,34.8077179286248,Similar to STIP1 homology and U box-containing protein 1.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",['protein.degradation.ubiquitin.E3.RING'],LOC_Os05g01460,0.731270319268687,0.093199638093187,,1.18520704390303,0.001492515269026,Up,2.12053481878657,2.76E-10,Up,-0.290927587135245,0.704358401383905,,-1.74956111171447,3.60E-06,Down
6,Os01g0220100,,"Starch and sucrose metabolism, Metabolic pathways",OsCel9A,21.0584766297817,3213,Turquoise,17.3354158509076,Similar to Cellulase.,"Biological Process: carbohydrate metabolic process (GO:0005975), Cellular Component: extracellular region (GO:0005576), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: carbohydrate binding (GO:0030246)","['misc.gluco-, galacto- and mannosidases.endoglucanase']",LOC_Os01g12070,-2.33208643601985,0.090642148914006,,-4.17131575515749,0.002949560555599,Down,-7.03152502972385,0.000240279154173,Down,2.87733238912089,2.34E-08,Up,-0.805407348154795,0.040725846291537,
7,Os05g0119300,,,,26.5813497233661,2382,Black,14.7853503837402,Similar to ESTs AA754121.,,['not assigned.unknown'],LOC_Os05g02780,0.994582493762817,0.000312757895765,,0.617599981568994,0.039711934361373,,1.08407700159683,3.12E-05,Up,0.824202427995011,0.002121668172881,,3.02316398403233,3.14E-10,Up
8,Os09g0487600,,,,18.1803518223004,3786,Blue,13.9966966492534,Similar to polygalacturonase.,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: polygalacturonase activity (GO:0004650)",['cell wall.degradation.pectate lyases and polygalacturonases'],LOC_Os09g31270,-0.279443004593414,0.625896973602344,,1.08799291841586,0.00427917383666,Up,1.84671996493077,6.50E-08,Up,3.99992251656949,5.30E-22,Up,3.53211733452129,0.011024181470187,Up
9,Os01g0785700,,,,5.78675868785127,8419,Purple,3.45946683147159,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488),['RNA.regulation of transcription'],LOC_Os01g57630,-1.8442692513615,0.003084303273294,Down,-1.80793193446761,0.002668839141246,Down,5.96814406130453,7.48E-59,Up,0.01005737670139,0.985968124744657,,2.70185797568183,0.00021910675785,Up
